Parameter,Value,Units,Comment
CLup_BBB,2.01E-04,,
CLup_BCSFB,2.01E-05,,
CLup_Tissue,0.184384049,,
FR,0.715,,
FR_B,FR,,
Kdeg,26.6,,
Koff_FcRn,23.85,,
Kon_FcRn,0.559,,
LB,0.0345,,
LT,0.3209184,,
QB,21.4533,,
QB_CSF,0.024,,
QB_ECF,0.0105,,
QT,160.4592,,
RC_BBB,1,,
RC_BCSFB,0.9974,,
RC_BrainISF,0.2,,
RC_CSF,0.2,,
RC_TissueLymph,0.2,,
RC_TissueVascular,0.923374942,,
V_BBB,0.006590364,,
V_BCSFB,6.59E-04,,
V_BrainISF,0.2609784,,
V_BrainVascular,0.03189736,,
V_CSF,0.1425,,
V_Lymph,0.27427,,
V_Plasma,3.1258535,,
V_TissueEndosomal,0.335243725,,
V_TissueISF,11.09880841,,
V_TissueVascular,1.681410584,,
